component_name,component_description,component_url,component_agency,component_ofc_of_primary_interest,source_id,component_id,fetch_status
"M-26-12 - Submit initial OMB compliance report","Covered agency submits required report package to OMB by May 4, 2026, for non-commercial acquisition actions.","https://www.whitehouse.gov/wp-content/uploads/2026/04/M-26-12-Increasing-the-Acquisition-of-Commercial-Products-and-Services.pdf",EOP,"Agency SPE","M-26-12 Increasing the Acquisition of Commercial Products and Services","M-26-12 Increasing the Acquisition of Commercial Products and Services::M-26-12-EC-01 Submit initial OMB compliance report",
"M-26-12 - Report non-commercial award totals by PSC","State total value and number of non-commercial contracts awarded from April 15, 2025 through September 30, 2025 by product service code.","https://www.whitehouse.gov/wp-content/uploads/2026/04/M-26-12-Increasing-the-Acquisition-of-Commercial-Products-and-Services.pdf",EOP,"Agency SPE and Acquisition Data Office","M-26-12 Increasing the Acquisition of Commercial Products and Services","M-26-12 Increasing the Acquisition of Commercial Products and Services::M-26-12-EC-02 Report non-commercial award totals by PSC",
"M-26-12 - Provide PIID list for covered awards","Provide Procurement Instrument Identifiers associated with each non-commercial award in the reporting set.","https://www.whitehouse.gov/wp-content/uploads/2026/04/M-26-12-Increasing-the-Acquisition-of-Commercial-Products-and-Services.pdf",EOP,"Agency SPE and Contracting Data Team","M-26-12 Increasing the Acquisition of Commercial Products and Services","M-26-12 Increasing the Acquisition of Commercial Products and Services::M-26-12-EC-03 Provide PIID list for covered awards",
"M-26-12 - Provide over 10M award detail and transition rationale","For each covered award over 10 million dollars, provide requirement details, pricing type, option date, SPE action, and explanation if no shift to commercial solution.","https://www.whitehouse.gov/wp-content/uploads/2026/04/M-26-12-Increasing-the-Acquisition-of-Commercial-Products-and-Services.pdf",EOP,"Agency SPE","M-26-12 Increasing the Acquisition of Commercial Products and Services","M-26-12 Increasing the Acquisition of Commercial Products and Services::M-26-12-EC-04 Provide over 10M award detail and transition rationale",
"M-26-12 - Report open pre-award non-commercial actions","State total number of open pre-award non-commercial actions in process on or after April 15, 2025 and initiated by March 31, 2026.","https://www.whitehouse.gov/wp-content/uploads/2026/04/M-26-12-Increasing-the-Acquisition-of-Commercial-Products-and-Services.pdf",EOP,"Agency SPE and HCA Offices","M-26-12 Increasing the Acquisition of Commercial Products and Services","M-26-12 Increasing the Acquisition of Commercial Products and Services::M-26-12-EC-05 Report open pre-award non-commercial actions",
"M-26-12 - Provide over 10M pre-award analysis package","For each open action over 10 million dollars, provide requirement description, planned contract type, independent government cost estimate, SPE action, and non-commercial justification.","https://www.whitehouse.gov/wp-content/uploads/2026/04/M-26-12-Increasing-the-Acquisition-of-Commercial-Products-and-Services.pdf",EOP,"Agency SPE and Program Contracting Team","M-26-12 Increasing the Acquisition of Commercial Products and Services","M-26-12 Increasing the Acquisition of Commercial Products and Services::M-26-12-EC-06 Provide over 10M pre-award analysis package",
"M-26-12 - Establish SPE review mechanism for future non-commercial awards","Describe internal mechanisms and guidance ensuring future planned non-commercial awards are reviewed by the SPE.","https://www.whitehouse.gov/wp-content/uploads/2026/04/M-26-12-Increasing-the-Acquisition-of-Commercial-Products-and-Services.pdf",EOP,"Agency SPE","M-26-12 Increasing the Acquisition of Commercial Products and Services","M-26-12 Increasing the Acquisition of Commercial Products and Services::M-26-12-EC-07 Establish SPE review mechanism for future non-commercial awards",
"M-26-12 - Confirm competition advocate level and submit contact","Confirm competition advocate role is at required senior level and submit name, title, and contact in MAX by May 4, 2026.","https://www.whitehouse.gov/wp-content/uploads/2026/04/M-26-12-Increasing-the-Acquisition-of-Commercial-Products-and-Services.pdf",EOP,"Agency CAO or Deputy SPE","M-26-12 Increasing the Acquisition of Commercial Products and Services","M-26-12 Increasing the Acquisition of Commercial Products and Services::M-26-12-EC-08 Confirm competition advocate level and submit contact",
"M-26-12 - Execute competition advocate implementation functions","Support SPE policy improvement recommendations, FAR Part 12 streamlining support, FPDS tracking protocol improvements, and annual progress reporting support.","https://www.whitehouse.gov/wp-content/uploads/2026/04/M-26-12-Increasing-the-Acquisition-of-Commercial-Products-and-Services.pdf",EOP,"Competition Advocate","M-26-12 Increasing the Acquisition of Commercial Products and Services","M-26-12 Increasing the Acquisition of Commercial Products and Services::M-26-12-EC-09 Execute competition advocate implementation functions",
"M-26-12 - Prepare optional OMB consultation package pre-solicitation","If soliciting non-commercial product or service, SPE may submit consultation package with CAO concurrence and allow at least 15 days for OMB review.","https://www.whitehouse.gov/wp-content/uploads/2026/04/M-26-12-Increasing-the-Acquisition-of-Commercial-Products-and-Services.pdf",EOP,"Agency SPE with CAO concurrence","M-26-12 Increasing the Acquisition of Commercial Products and Services","M-26-12 Increasing the Acquisition of Commercial Products and Services::M-26-12-EC-10 Prepare optional OMB consultation package pre-solicitation",
